Column1,Column2
able,"в состоянии, способный, умеющий, могущий, умелый, талантливый, компетентный, знающий"
able-bodied,"крепкий, здоровый, годный, трудоспособный"
able-minded,"способный, умный"
ablegate,"легат, папский посланник, аблегат"
ablepsia,слепота
ablet,уклейка
ablins,"может быть, возможно"
abloom,"в цвету, цветущий, расцветший"
abluent,"очищающий, моющий, очищающее средство, дезинфицирующее"
ablush,"смущенный, покрасневший, зардевшийся"
abluted,"вымытый, отмытый дочиста"
ablution,"омовение, промывка, промывание, обмывание"
ablutionary,связанный с омовением
ably,"умело, искусно, квалифицированно, компетентно"
abmodality,"флуктуация, отклонение от среднего"
abnegate,"отказываться, отрицать, отказываться от, отказывать себе в, отвергать"
abnegation,"непринятие, отрицание, отречение, отказ, самоотречение, самопожертвование"
abner,"Авенир, Эбнер, Абнер"
abnodate,обрезать сучья
abnormal,"ненормальный, аномальный, неправильный, анормальный, отклоняющийся от нормы"
abnormality,"аномалия, ненормальность, неправильность, уродство"
abnormalize,"делать ненормальным, вызывать отклонения от нормы"
abnormity,"неправильность, аномалия, уродство, ненормальность"
abo,"абориген Австралии, туземец, абориген"
aboard,"на борту, на корабль, на корабле, на борту, на борт, вдоль"
abode,"жилище, проживание, пребывание, придерживаться, оставаться верным"
aboil,"кипящий, доведенный до кипения, возбужденный, неистовствующий"
aboiteau,"шлюз, плотина, шлюзные ворота"
abolish,"отменять, упразднять, уничтожать"
abolishment,"отмена, упразднение"
abolition,"отмена, упразднение, уничтожение, аннулирование"
abolitionary,"аболиционистский, разрушительный"
abolitionism,аболиционизм
abolitionist,"аболиционист, сторонник отмены"
abolitionize,пропагандировать аболиционизм
abomasum,сычуг
abomasus,сычуг
abominable,"отвратительный, гнусный, противный, гадкий, отвратный"
abominate,"ненавидеть, питать отвращение, не любить"
abomination,"мерзость, отвращение, омерзение, что-либо отвратительное"
abonnement,"абонемент, подписка"
aboriginal,"аборигенный, коренной, местный, исконный, абориген, коренной житель, туземец"
aborigine,"абориген, туземец, коренной житель, туземка"
aborning,"при рождении, во время родов, рождающийся, появляющийся на свет"
abort,"выкинуть, иметь выкидыш, преждевременно родить, терпеть неудачу"
aborted,"недоношенный, недоразвитый, рудиментарный"
aborticide,"аборт, преждевременное прекращение, абортивный, вызывающий аборт"
abortifacient,"средство, вызывающее аборт, абортивный, вызывающий аборт"
abortion,"аборт, выкидыш, уродец, неудача, недоразвитие органа"
abortionist,"подпольный акушер, врач, сторонник легализации абортов"
abortive,"неудачный, абортивный, неудавшийся, абортивное средство, выкидыш"
abortively,"неудачно, бесплодно"
abound,"изобиловать, быть в большом количестве, иметь в большом количестве"
abounding,изобилующий
about,"о, об, около, по, около, меняющий курс, менять курс"
about-face,"повернуть кругом, повернуться кругом, поворот кругом, резкое изменение"
about-ship,менять курс
about-sledge,кувалда
about-towner,"завсегдатай ночных клубов, гуляка"
about-turn,"повернуть кругом, повернуться кругом, поворот кругом, резкое изменение"
above,"выше, более, свыше, выше, над, свыше, вышеупомянутое, упомянутый выше"
above-average,выше среднего
above-board,"честный, открытый, прямой"
above-critical,"надкритический, сверхкритический"
above-ground,"наземный, живущий, в живых"
above-mentioned,вышеупомянутый
above-water,надводный
aboveboard,"честный, открытый, прямой, честно, открыто"
aboveground,"наземный, надземный, легальный, официальный, живой"
abovestairs,верхний этаж
abracadabra,"абракадабра, заклинание, бессмыслица"
abradant,"абразивный, абразивный материал, абразив"
abrade,"истирать, обдирать, шлифовать, стирать, сдирать, снашивать трением, очищать"
abrading,"истирание, эрозия почвы, стирающий"
abraham,"Эйбрахам, Абрахам, Авраам, первый библейский патриарх"
abranchial,безжаберный
abranchiate,безжаберный
abrasion,"истирание, ссадина, трение, абразия, стирание, выскабливание, шлифовка, срабатывание"
abrasive,"абразивный, резкий, шлифующий, грубый, абразив, абразивный материал, наждак"
abraxas,"заклинание, формула, амулет, мистическое слово"
abreact,"дать выход подавляемым эмоциям при помощи абреакции, давать выход"
abreaction,"абреакция, освобождение от напряжения, эмоциональная разрядка, отреагирование"
abreast,"рядом, в ряд, на уровне, на траверзе, на одной линии"
abri,"убежище, укрытие, пристанище"
abridge,"сокращать, ограничивать, урезать, лишать"
abridgement,"сокращение, ограничение, краткое изложение, конспект, сокращенный текст"
abridgment,"сокращение, ограничение, сокращенный текст, конспект, краткое изложение"
abrim,наполненный до краев
abristle,"ощетинившийся, колючий"
abroach,"в открытом состоянии, в движении"
abroad,"за границей, за границу, повсюду, заграница"
abrogate,"отменять, аннулировать"
abrogation,"отмена, аннулирование"
abrupt,"резкий, крутой, внезапный, неожиданный, обрывистый, грубый, неровный"
abruption,"отторжение, разрыв, разъединение, выход на поверхность"
abruptly,"резко, внезапно, круто, отрывисто"
abruptness,"резкость, внезапность, непредсказуемость, неожиданность, крутизна, обрывистость"
abs,"брюшной пресс, брюшные мышцы, абсолютное значение, абсолютная величина, модуль"
absalom,"Эбсалом, Абсалом, Авессалом, любимый сын израильского царя Давида, Абсалем"
abscess,"абсцесс, нарыв, гнойник, раковина"
abscessed,"гнойный, нарывающий, абсцедирующий, пораженный абсцессом"
abscind,"отделять, отрезать, отсекать, отрубать"
abscise,"опадать, отделяться, сбрасывать, отделять, отрезать"
abscisin,"абсцизин, органическое вещество"
abscissa,абсцисса
abscissae,абсцисса
abscission,"опадение, ампутация, отнятие, отрезание"
abscond,"скрываться, бежать"
absence,"отсутствие, недостаток, неявка, отлучка"
absent,"отсутствующий, рассеянный, отсутствовать, отлучаться, в отсутствие, без"
absent-minded,рассеянный
absent-mindedness,"невнимание, невнимательность, рассеянность"
absentation,"отсутствие, отлучка, уклонение"
absentee,"отсутствующий, уклоняющийся, прогулявший, не участвующий"
absenteeism,"прогул, абсентеизм, невыход на работу"
absentia,"абсанс, кратковременная потеря сознания"
absently,рассеянно
absentminded,рассеянный
absentmindedly,рассеянно
absentmindedness,рассеянность
absinth,"абсент, полынная водка"
absinthe,"абсент, полынь, полынная водка"
absinthial,"полынный, горький, горестный"
absinthism,"абсентизм, отравление полынной водкой, отравление абсентом"
absinthium,"полынь горькая, полынь, полынь горькая или настоящая"
absit,"разрешение не присутствовать на занятиях, разрешение отсутствовать"
absolute,"абсолютный, полный, безусловный, абсолют, абсолютная величина"
absolutely,"абсолютно, совершенно, безусловно, конечно, самостоятельно, вконец, независимо"
absoluteness,"безусловность, неограниченность, полнота власти"
absolution,"отпущение грехов, прощение, оправдание, освобождение"
absolutism,абсолютизм
absolutist,"абсолютист, сторонник абсолютизма"
absolutize,"абсолютизировать, считать абсолютным, возводить в абсолют"
absolutory,"оправдательный, прощающий, отпускающий грехи, освобождающий, от наказания"
absolve,"освобождать, прощать, отпускать, оправдывать, избавлять от ответственности"
absolvent,"освобождающий от обязательств, освободитель"
absonant,"резкий, диссонирующий, неоправданный, неразумный"
absorb,"поглощать, впитывать, абсорбировать, амортизировать, всасывать, вбирать"
absorbability,"поглотительная способность, абсорбционная способность, гигроскопичность"
absorbable,"поглощаемый, абсорбируемый, рассасывающийся, всасываемый"
absorbance,"спектральная поглощательная способность, мера поглощения света"
absorbed,"поглощенный, абсорбированный, захваченный"
absorbedly,"с увлечением, увлеченно, очень внимательно, с неотрывным вниманием"
absorbefacient,"усиливающий поглощение, вызывающий абсорбцию"
absorbency,поглотительная способность
absorbent,"абсорбирующий, поглощающий, всасывающий, абсорбент, поглотитель"
absorber,"амортизатор, поглотитель, абсорбер"
absorbing,"поглощающий, абсорбирующий, впитывающий, поглощение, всасывание"
absorptance,"коэффициент поглощения, поглощательная способность, поглощающая способность"
absorptiometer,"абсорбциометр, газоанализатор"
absorption,"поглощение, абсорбция, всасывание, впитывание, погруженность"
absorptive,"поглощающий, впитывающий, всасывающий"
absorptivity,"поглощаемость, поглотительная способность, абсорбционная способность"
absquatulate,"удирать, спасаться бегством, потихоньку уйти, смыться"
abstain,"воздерживаться, не принимать участия"
abstainer,"трезвенник, воздержавшийся, непьющий"
abstaining,"воздержание, воздерживающийся"
abstemious,"воздержанный, умеренный, бережливый, отрегулированный"
abstention,"воздержание, воздержанность, неучастие в голосовании"
abstentionist,"воздерживающийся, не принимающий, воздерживающийся, воздержавшийся"
abstentious,"воздержанный, ограничивающий себя, сдержанный, скудный"
absterge,"обтирать, очищать, прочищать, промывать"
abstergent,"моющий, моющее средство"
abstersion,"промывание, очищение"
abstersive,"моющий, очищающий, очистительный"
abstinence,"воздержание, умеренность, пост, трезвенность"
abstinency,"воздержание, умеренность"
abstinent,"воздержанный, умеренный, трезвый, умеренный человек"
abstract,"абстрактный, отвлеченный, абстракция, резюме, реферат, абстрагировать"
abstracted,"рассеянный, погруженный в мысли, отдаленный, удаленный"
abstractedly,"рассеянно, абстрактно, отвлеченно, отдельно"
abstractedness,"абстрактность, отвлеченность, рассеянность"
abstracter,"референт, составитель рефератов, лицо, составляющее справки о правовом титуле"
abstraction,"абстракция, отвлечение, рассеянность"
abstractionism,"абстракционизм, абстрактное искусство"
abstractionist,"представитель абстрактного искусства, абстракционист, идеалист, мечтатель"
abstractive,"абстрактный, абстрагирующий, отвлеченный"
abstractiveness,"абстрактность, отвлеченность"
abstractness,"абстрактность, отвлеченность"
abstruse,"заумный, глубокомысленный, трудный для понимания, малопонятный, глубокий"
abstrusity,"малопонятность, невразумительность, неясный момент, малопонятный пункт"
absurd,"абсурдный, нелепый, смешной, абсурд"
absurdist,"абсурдист, абсурдистский"
absurdity,"абсурдность, нелепость, глупость, вздор, смехотворность, нелепое утверждение"
absurdly,"нелепо, абсурдно, глупо"
abt,"около, приблизительно, примерно"
abubble,"кипящий, кипучий, взволнованный, возбужденный"
abudja,Абуджа
abuilding,"строящийся, сооружаемый"
abulia,"абулия, патологическое безволие"
abundance,"изобилие, множество, избыток, богатство, распространенность, благодать"
abundant,"обильный, изобилующий, богатый"
abundantly,"обильно, изобильно"
aburst,"лопаясь, взрываясь, разрываясь"
abusage,"неправильное употребление, слов"
abuse,"злоупотребление, оскорбление, брань, злоупотреблять, браниться, оскорблять"
abused,"злоупотреблять, браниться, оскорблять, ругать, ругаться, поносить"
abuser,"злоумышленник, алкоголик, алкоголичка, наркоман, наркоманка, злоумышленница"
abusive,"оскорбительный, матерный, бранный, оскорбляющий"
abut,"примыкать, упираться, граничить, опираться, соединять впритык"
abutilon,"канатник, абутилон"
abutment,"опора, устой, межа, контрфорс, береговой устой, пята свода, граница, устой моста"
abuttal,"межа, граница"
abutter,"владелец прилегающего земельного участка, то, что граничит"
abutting,"примыкающий, опорный"
abuzz,"гудящий, жужжащий, деятельный"
abwehr,абвер
abysm,"бездна, пропасть, пучина"
abysmal,"ужасный, полный, глубокий, бездонный, крайний"
abyss,"бездна, пропасть, пучина, первозданный хаос"
abyssal,"абиссальный, глубинный, глубоководный"
abyssinia,Абиссиния
abyssobenthos,глубоководный бентос
ac-,"работающий на переменном токе, импульсного типа, анаэробная культура"
acacia,"акация, робиния, лжеакация, рожковое дерево"
academe,"academy академия, academiaacademy научное сообщество, мир университетской науки"
academese,"педантский слог, наукообразность, профессиональный подъязык, жаргон"
academia,жизнь и обстановка колледжа
academic,"академический, учебный, академичный, ученый, преподаватель, профессор"
academical,"академический, университетский, учебный, теоретический, академичный"
academicals,"парадная университетская форма, мантия с капюшоном"
academician,академик
academicism,"традиционность, академизм, академизм, академичность, учение Платона"
academism,"платонизм, учение Платона, академизм"
academist,"философ, академик, академист, приверженец академизма"
academy,"академия, школа, высшее учебное заведение, специальное учебное заведение"
academy-figure,"академическая фигура, акт, ню, обнаженная натура, изображение обнаженного человека"
acadia,"Акейдия, Акадия"
acadian,"акадский, акадийский, относящийся к французской колонии Акадия"
acajou,"акажу, красное дерево, акажу, кешью"
acalculia,"акалькулия, нарушение способности совершать арифметические действия"
acalycine,"не имеющий, чашечки, не имеющий чашечки, асепальный"
acanaceous,"имеющий шипы или колючки, колючий"
acantha,"шип, колючка, остистый отросток позвонка, остистый отросток"
acanthaster,"акантастер, морская звезда"
acanthi,"акант, аканф, медвежья лапа"
acanthite,"акантит, серебристый блеск"
acanthus,"акант, аканф, медвежья лапа"
acapulco,"Акапулько, город"
acardia,"акардия, врожденное отсутствие сердца, голоакардия"
acariasis,"акариазис, акариаз, акародерматит"
acaricide,"акарицид, препарат для уничтожения клещей, акарицидный, уничтожающий клещей"
acarid,клещ
acaridae,"клещ, акарида"
acaridan,"клещ, акарида"
acarine,"акарида, клещ"
acarology,"акарология, раздел зоологии"
acarpellous,беспестичный
acarpous,"неплодоносящий, бесплодный"
acarus,"клещ, зудень"
acatalectic,акаталектический
acataleptic,"непостижимый, непонятный, акаталептический"
acaudal,бесхвостый
acaulescent,"бесстебельный, имеющий неразвитой стебель, с неразвитым стеблем"
acausal,"не имеющий причины, некаузальный, не имещий причины, акаузальный"
accede,"присоединяться, вступать, соглашаться, принимать, примыкать"
accedence,"присоединение, вступление в должность, соглашение"
accelerando,"аччелерандо, ускоряя"
accelerant,"ускоритель, катализатор"
accelerate,"ускорять, ускоряться, разгонять, увеличивать скорость"
accelerated,ускоренный
accelerating,"ускоряющий, ускоряющийся, прогрессивный"
acceleration,"ускорение, акселерация, учащение"
accelerative,"инерционный, ускоряющий"
accelerator,"ускоритель, акселератор, катализатор, многокамерное орудие"
accelerogram,"акселерограмма, запись ускорений, сейсмограмма ускорений"
accelerograph,"акселерограф, самописец ускорений или перегрузок"
accelerometer,"акселерометр, измеритель ускорения, тахогенератор"
accent,"акцент, ударение, произношение, речь, язык, акцентировать, подчеркивать"
accented,"акцентированный, подчеркнутый"
accentor,"завирушка, любая птица этого, солирующий певец, завирушковые"
accentual,"тонический, относящийся к ударению"
accentuate,"подчеркивать, акцентировать, выделять, делать ударение, ставить ударение"
accentuated,"подчеркнутый, акцентированный, выделенный, усиленный"
accentuating,"подчеркивающий, усиливающий"
accentuation,"выделение, подчеркивание, манера произношения, выделение в тексте"
accentuator,"подчеркиватель, схема частотной коррекции, усилитель, частотный корректор"
accept,"принимать, признавать, соглашаться, брать, допускать, акцептовать, утверждать"
acceptability,приемлемость
acceptable,"приемлемый, допустимый, подходящий, угодный, желанный, приятный"
acceptance,"принятие, признание, прием, акцепт, одобрение, акцептование"
acceptant,"принимающий, согласный"
acceptation,"принятое значение слова, принятое значение выражения"
accepted,"принятый, принявший, признанный, общепринятый, распространенный, одобренный"
acceptee,"принятый, зачисленный"
accepter,"тот, кто принимает, приёмщик"
accepting,"принимающий, допускающий, признающий"
acceptive,"восприимчивый, чувствительный, допустимый, приемлемый, желанный, приятный"
acceptor,"акцептант, приемщик, тот, кто принимает"
access,"доступ, проход, подход, выборка, припадок, обращаться, иметь доступ"
accessary,"соучастник, соучаствующий"
accessibility,"доступность, общедоступность, удобство подхода, легкость осмотра"
accessible,"доступный, достижимый, податливый, поддающийся"
accession,"вступление, доступ, воцарение, пополнение, вносить книги в каталог"
accessorial,"вспомогательный, дополнительный"
accessories,принадлежности
accessorii,"снабжать аксессуарами, снабжать необходимыми принадлежностями"
accessorius,"добавочный, вспомогательный орган, мускул"
accessorize,"снабжать аксессуарами, снабжать необходимыми принадлежностями"
accessory,"аксессуар, принадлежность, вспомогательный, добавочный"
acciaccatura,"аччакатура, перечеркнутый форшлаг, короткий перечеркнутый форшлаг"
accidence,"морфология, основы предмета, элементы"
accident,"авария, случайность, несчастный случай, катастрофа, случай"
accident-free,безаварийный
accident-prone,"невезучий, высокоаварийный"
accidental,"случайный, неожиданный, второстепенный, случайность, случайный элемент"
accidentalism,"акцидентализм, использование световых эффектов"
accidentally,"случайно, нечаянно, непредумышленно"
accidented,"неровный, шероховатый, нарушенный"
accidie,"вялость, скука, леность, безнадежность, отчаяние"
accipiter,"сокол, ястреб"
accipitral,ястребиный
accipitrine,ястребиный
acclaim,"приветствовать, аплодировать, возгласы одобрения"
acclaimed,провозглашенный
acclaiming,"приветствующий, одобряющий, одобрение"
acclamation,"одобрение, приветственные возгласы, шумное одобрение"
acclamatory,одобрительный
acclimate,"акклиматизировать, акклиматизация"
acclimation,акклиматизация
acclimatization,акклиматизация
acclimatize,"акклиматизировать, акклиматизироваться, приспосабливаться, приспособляться"
acclivity,"подъем, пологий подъем, уклон"
acclivous,пологий
accolade,"акколада, восторженная похвала, знак одобрения, знак почтения"
accommodate,"вмещать, приспосабливать, согласовывать, снабжать, примирять, приспособлять"
accommodated,"приспособленный, обеспеченный"
accommodating,"любезный, вмещающий, услужливый, сговорчивый, уживчивый, уступчивый"
accommodation,"жилье, помещение, приспособление, аккомодация, компромисс, приют, примирение"
accommodation-bill,"дружеский вексель, встречные, вексель"
accommodation-ladder,"забортный трап, приставная лестница, забортный, наружный трап"
accommodative,"удобный, услужливый"
accommodator,"поденщица, женщина, домработница"
accompaniment,"сопровождение, аккомпанемент, дополнение"
accompanist,аккомпаниатор
accompany,"сопровождать, сопутствовать, аккомпанировать"
accompanying,"сопровождающий, сопутствующий"
accomplice,"сообщник, соучастник, пособник, соумышленник, единомышленник"
accompliceship,"участие, соучастие, в преследуемом законом деянии"
accomplish,"выполнять, совершать, достигать, завершать, совершенствовать"
accomplished,"опытный, завершенный, выполненный, совершенный, законченный, искусный, изысканный"
accomplishing,выполняющий
accomplishment,"достижение, выполнение, завершение, образованность, воспитание"
accord,"соответствие, согласие, соглашение, предоставлять, соответствовать"
accordance,"соответствие, согласие, предоставление, гармония"
accordant,"созвучный, соответственный, согласный"
according,следовательно
accordingly,"соответственно, в соответствии, поэтому"
accordion,"аккордеон, баян, гармоника"
accordion-pleated,"волнистый, гофрированный, рифленый"
accordionist,"аккордеонист, гармонист, аккордеонистка"
accost,"приставать, обращаться, обращаться к, обращение, приветствие"
accouche,"оказывать помощь при родах, быть акушеркой, принимать роды, помогать при родах"
accouchement,"роды, разрешение от бремени, рождение"
accoucheur,акушер
accoucheuse,акушерка
account,"счет, расчет, отчет, приходиться, отчитываться, бухгалтерский"
